# ARGs	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
OprN__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.47922553	0	0	0	0	0	0	0	0	0	0	0	0	0	95.30794482	0	0
OpmB__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.605748296	0	0	0	0	0	0	0	0	0	0	0	0	0	130.5932314	0	0
MuxC__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2546176	0	0	0	0	0	0	0	0	0	0	0	0	0	142.6731053	0	0
ArmR__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.29392614	0	0	0	0	0	0	0	0	0	0	0	0	0	72.94564781	0	0
mexG__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.10419135	0	0	0	0	0	0	0	0	0	0	0	0	0	159.8713913	0	0
mexH__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.70814847	0	0	0	0	0	0	0	0	0	0	0	0	0	250.3036935	0	0
mexI__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.68353248	0	0	0	0	0	0	0	0	0	0	0	0	0	80.24089695	0	0
opmD__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.68582765	0	0	0	0	0	0	0	0	0	0	0	0	0	79.26283627	0	0
basR__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.03109167	0	0	0	0	0	0	0	0	0	0	0	0	0	107.3417762	0	0
OpmH__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.589732424	0	0	0	0	0	0	0	0	0	0	0	0	0	62.07531598	0	0
Escherichia_coli_nfsA_mutations_conferring_resistance_to_nitrofurantoin__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	74.85788107	0	0	0	0	0	0	0	10.20614702	0	0	0	0	0	0	0	0	0	0	0	0
ADC-81__Acinetobacter_baumannii_	0	23.82562355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2222917	0	0
ICR-Mo__Moraxella_osloensis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55731035	56.3997628	0	0	0	0
mgrB__Escherichia_coli_str__K-12_substr__MG1655_	0	0	3.813941298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA-85__Fusobacterium_nucleatum_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acrB__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_reuteri_cat-TC__Lactobacillus_reuteri_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.582359201	0	0	0	0	0	0	0	0	0
EreA2__Providencia_stuartii_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.586389935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sul2__Vibrio_cholerae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.55068267	0	0	0	0	0	0	0	0	0	0	0
tet(D)__Shigella_flexneri_Y_	0	0	0	324.4463127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC(6_)-IIa__Salmonella_enterica_subsp__enterica_serovar_Typhi_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.26305471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBR-1_beta-lactamase__Empedobacter_brevis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.635990495	0	0
dfrC__Staphylococcus_epidermidis_ATCC_12228_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.695541156	0	0	0	0	0	0
Enterococcus_faecalis_liaF_mutant_conferring_daptomycin_resistance__Enterococcus_faecalis_V583_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.9432422	0	0	0	0	0	0	0	0	0	0
norA__Staphylococcus_epidermidis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.807394338	0	0	0	0	0	0
lsaA__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0438858	0	0	0	0	0	0	0	0	0	0
lmrC__Lactococcus_lactis_subsp__lactis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.690092148	0	0	0	0	0	0	0	0	0	0	0	0	0
lmrD__Lactococcus_lactis_subsp__lactis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.005418712	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus_aureus_mprF_mutations_conferring_resistance_to_daptomycin__Staphylococcus_aureus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682351929	0	0	0	0	0	0
Enterococcus_faecalis_cls_conferring_resistance_to_daptomycin__Enterococcus_faecalis_OG1RF_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.52560005	0	0	0	0	0	0	0	0	0	0
QnrB41__Citrobacter_freundii_	0	0	0	0	0	0	0	0	0	0	0	0	0	83.467267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mexX__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.003644322	0	0
emeA__Enterococcus_faecalis_ATCC_29212_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.647747399	0	0	0	0	0	0	0	0	0	0
aadA7__Vibrio_fluvialis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.72457684	0	0
mdtE__Escherichia_coli_str__K-12_substr__W3110_	0	0	3.479385044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eptA__Escherichia_coli_str__K-12_substr__W3110_	0	0	15.25576519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catI__Escherichia_coli_	0	0	0	101.8801946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCH-1__Ochrobactrum_anthropi_	0	0	0	3.002318122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_GlpT_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.815763678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efrA__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2159158	0	0	0	0	0	0	0	0	0	0
dfrE__Enterococcus_faecalis_EnGen0074_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.336923968	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_rpoB_mutants_conferring_resistance_to_rifampicin__Escherichia_coli_O157_H7_str__Sakai_	0	0	19.83249475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mgrA__Staphylococcus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.488613701	0	0	0	0	0	0	0	0
Enterococcus_faecalis_YybT_with_mutation_conferring_daptomycin_resistance__Enterococcus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.079579	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis_gshF_with_mutation_conferring_daptomycin_resistance__Enterococcus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.61027453	0	0	0	0	0	0	0	0	0	0
LEN-9__Klebsiella_	0	0	0	66.1380224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mecR1__Staphylococcus_aureus_subsp__aureus_JH9_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.660177017
adeI__Acinetobacter_baumannii_AB0057_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.128796168	0	0
CrpP__Pseudomonas_aeruginosa_	0	0	0	1.655850343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANT(4_)-Ib__Staphylococcus_aureus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33206444	0	0	0	0	0	0
tetX__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catP__Clostridium_perfringens_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAT-4__Campylobacter_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acrF__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mdtM__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aad(6)__Streptococcus_oralis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tolC__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH(3_)-IIIa__Campylobacter_coli_CVM_N29710_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emrY__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H-NS__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evgA__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC(6_)-Ie-APH(2__)-Ia__Staphylococcus_aureus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
